Наименование книги,Писатель / Автор,Страна автора,Год издания
Властелин колец,Джон Р. Р. Толкин,Великобритания,1954
Гордость и предубеждение,Джейн Остин,Великобритания,1813
Тёмные начала,Филип Пулман,Великобритания,1995
Автостопом по галактике,Дуглас Адамс,Великобритания,1979
Гарри Поттер и Кубок огня,Джоан Роулинг,Великобритания,2000
Убить пересмешника,Харпер Ли,США,1960
Винни Пух,Алан Александр Милн,Великобритания,1926
1984,Джордж Оруэлл,Великобритания,1948
"Лев, колдунья и платяной шкаф",Клайв Стэйплз Льюис,Великобритания,1950
Джейн Эйр,Шарлотта Бронте,Великобритания,1847
Уловка-22,Джозеф Хеллер,США,1961
Грозовой перевал,Эмили Бронте,Великобритания,1847
Пение птиц,Себастьян Фолкс,Великобритания,1993
Ребекка,Дафна Дюморье,Великобритания,1938
Над пропастью во ржи,Джером Сэлинджер,США,1951
Ветер в ивах,Кеннет Грэм,Великобритания,1908
Большие надежды,Чарльз Диккенс,Великобритания,1861
Маленькие женщины,Луиза Мэй Олкотт,США,1868
Война и мир,Лев Толстой,Россия,1865
Унесённые ветром,Маргарет Митчелл,США,1936
Гарри Поттер и философский камень,Джоан Роулинг,Великобритания,1997
пособие как варить чище чем Хайзенберг,Налитов А.А.,Россия,2025
111,1,1111,111
222,2,2222,222
